SMILES_RepeatUnit_1,SMILES_Monomer_0,MD,RepeatUnit_1_MFF_GPR,RepeatUnit_1_MFF_Lasso,RepeatUnit_1_MFF_RF,RepeatUnit_1_MFF_SVM,RepeatUnit_1_MFF_DNN,RepeatUnit_1_MFF_CNN,RepeatUnit_1_MF_GPR,RepeatUnit_1_MF_Lasso,RepeatUnit_1_MF_RF,RepeatUnit_1_MF_SVM,RepeatUnit_1_MF_DNN,RepeatUnit_1_MF_CNN,RepeatUnit_1_ME_GPR,RepeatUnit_1_ME_Lasso,RepeatUnit_1_ME_RF,RepeatUnit_1_ME_SVM,RepeatUnit_1_ME_DNN,RepeatUnit_1_ME_CNN,RepeatUnit_1_Descriptor_GPR,RepeatUnit_1_Descriptor_Lasso,RepeatUnit_1_Descriptor_RF,RepeatUnit_1_Descriptor_SVM,RepeatUnit_1_Descriptor_DNN,RepeatUnit_1_Descriptor_CNN,Polymerized_16_ME_GPR,Polymerized_16_ME_Lasso,Polymerized_16_ME_RF,Polymerized_16_ME_SVM,Polymerized_16_ME_DNN,Polymerized_16_ME_CNN,Polymerized_16_Descriptor_GPR,Polymerized_16_Descriptor_Lasso,Polymerized_16_Descriptor_RF,Polymerized_16_Descriptor_SVM,Polymerized_16_Descriptor_DNN,Polymerized_16_Descriptor_CNN,Polymerized_16_MFF_GPR,Polymerized_16_MFF_Lasso,Polymerized_16_MFF_RF,Polymerized_16_MFF_SVM,Polymerized_16_MFF_DNN,Polymerized_16_MFF_CNN,Polymerized_16_MF_GPR,Polymerized_16_MF_Lasso,Polymerized_16_MF_RF,Polymerized_16_MF_SVM,Polymerized_16_MF_DNN,Polymerized_16_MF_CNN,Monomer_0_MFF_GPR,Monomer_0_MFF_Lasso,Monomer_0_MFF_RF,Monomer_0_MFF_SVM,Monomer_0_MFF_DNN,Monomer_0_MFF_CNN,Monomer_0_MF_GPR,Monomer_0_MF_Lasso,Monomer_0_MF_RF,Monomer_0_MF_SVM,Monomer_0_MF_DNN,Monomer_0_MF_CNN,Monomer_0_ME_GPR,Monomer_0_ME_Lasso,Monomer_0_ME_RF,Monomer_0_ME_SVM,Monomer_0_ME_DNN,Monomer_0_ME_CNN,Monomer_0_Descriptor_GPR,Monomer_0_Descriptor_Lasso,Monomer_0_Descriptor_RF,Monomer_0_Descriptor_SVM,Monomer_0_Descriptor_DNN,Monomer_0_Descriptor_CNN,Monomer_0_CNN,RepeartUnit_1_CNN,Monomer_0_RNN,RepeartUnit_1_RNN,GCNN_Monomer,GCNN_RepeatUnit_1,GCNN_Polymerized_16
*Oc1cc(ccc1)NC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)Nc1ccc(cc1)*)(C(F)(F)F)C(F)(F)F,Nc1ccc(Oc2cccc(N)c2)cc1.ClC(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C(=O)Cl,157.6228264,241.14,198.80,225.19,197.58,215.58,217.21,219.50,214.48,216.47,212.60,239.85,206.82,250.77,211.63,226.40,222.92,249.24,232.70,232.44,204.86,223.98,205.02,203.30,218.54,242.12,196.73,222.08,196.25,201.02,211.22,208.20,202.11,206.89,204.39,197.23,212.40,243.04,191.18,218.78,181.91,214.38,209.51,200.56,220.23,211.94,211.07,218.64,216.25,259.99,215.40,246.05,208.74,232.06,244.03,231.67,218.95,229.62,216.02,220.40,241.01,268.90,233.05,237.20,230.46,248.25,252.71,264.48,231.80,243.30,225.68,246.26,258.09,243.69,258.51,235.71,196.75,257.50,256.38,211.36
*c1n(c(nn1)CCCCCCCC*)N,NN.OC(=O)CCCCCCCCC(=O)O,-41.92176029,17.00,90.85,20.30,91.21,33.15,41.94,38.88,70.73,80.67,63.88,68.86,117.97,107.16,141.87,17.69,110.48,40.00,31.37,71.72,64.54,59.43,46.00,64.59,74.26,23.88,67.01,32.45,84.41,-9.80,14.43,61.39,61.19,31.34,46.64,46.00,50.43,6.74,85.24,20.43,88.00,5.65,29.01,31.64,69.03,76.45,59.89,43.06,72.52,65.62,79.07,51.89,89.20,80.44,22.72,47.95,33.23,46.78,37.36,32.17,37.98,22.83,78.88,7.80,72.12,42.22,50.58,32.42,75.42,36.53,68.61,65.38,60.38,-14.27,19.54,115.41,69.52,96.70,78.30,75.67
*c1nc2c([nH]1)cc(cc2)c1cc2c(nc([nH]2)c2ccc(cc2)NC(=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)*)cc1,Nc1ccc(cc1)c2nc3cc(ccc3[nH]2)c4ccc5[nH]c(nc5c4)c6ccc(N)cc6.ClC(=O)c1ccc(cc1)C(=O)Cl,358.667269,330.00,301.86,282.12,310.90,332.28,318.82,310.07,327.96,299.47,315.20,288.94,327.49,343.58,349.79,289.03,349.31,361.93,329.05,362.31,310.80,279.69,275.54,317.64,331.10,320.93,335.62,288.92,332.29,287.68,329.11,325.64,321.77,276.97,288.92,367.10,325.27,311.51,301.83,262.10,307.41,282.93,299.17,294.37,323.20,299.16,311.86,275.17,325.95,324.51,290.62,285.20,304.53,306.15,326.11,294.49,281.74,271.53,290.39,297.46,297.92,326.32,323.05,286.61,316.09,350.68,330.97,306.39,268.08,273.45,267.40,296.52,298.85,329.60,346.35,273.33,310.95,335.20,334.65,294.38
*Nc1c(cc(cc1Cl)*)Cl,c1c(Cl)cc(Cl)cc1N,-0.214281278,170.22,161.26,150.67,169.90,141.21,169.66,169.61,201.31,181.68,195.37,200.32,181.77,189.06,189.32,152.96,195.01,158.29,204.76,206.73,161.26,186.71,129.77,169.49,196.56,167.13,170.90,145.69,153.32,101.16,188.65,131.57,153.25,159.02,132.88,165.13,171.81,150.39,144.23,152.13,159.06,143.52,145.31,138.73,181.91,160.11,179.40,129.94,170.34,132.54,131.91,131.81,132.01,134.90,169.22,162.01,189.88,173.40,190.41,168.87,175.84,144.61,149.60,114.85,145.64,153.53,181.17,183.34,162.78,145.59,127.86,135.02,159.70,112.82,158.15,126.25,166.99,196.08,168.69,263.71
*c1ccc2n(c3c(c2c1)cc(cc3)N=Cc1sc(cc1)c1sc(cc1)C=N*)CCCCCC,CCCCCCn5c2ccc(N=Cc1cccs1)cc2c4cc(N=Cc3cccs3)ccc45,95.07860424,159.44,166.33,142.14,164.41,139.02,143.69,159.20,114.47,132.36,108.51,128.95,93.94,155.29,153.63,125.20,162.47,104.26,167.25,197.45,153.43,175.20,134.49,160.07,136.90,89.72,145.73,133.20,124.53,117.04,125.88,171.08,139.97,165.41,140.54,127.78,141.89,134.13,163.16,136.58,154.74,152.95,128.60,129.87,112.81,127.62,111.74,100.23,115.41,145.74,119.92,152.47,110.21,116.78,113.47,116.00,72.45,137.80,66.54,73.40,78.25,196.35,96.35,125.54,107.98,90.93,110.25,140.45,86.23,186.81,96.33,74.02,100.73,117.07,165.84,146.13,121.16,175.71,150.78,131.14
*N1C2(CCCC2)C(=O)N(C1=O)C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)*,O=C(NC1=O)NC21CCCCC2.ClC(=O)c1ccc(N=Nc2ccc(cc2)C(=O)Cl)cc1,17.25361376,250.06,184.64,215.96,175.74,213.64,226.90,239.77,220.35,276.20,223.29,233.71,252.16,207.08,171.65,167.70,152.77,216.82,243.87,166.62,191.34,170.34,173.09,193.22,176.23,202.17,135.52,176.26,153.59,172.94,195.80,134.39,204.89,192.82,185.86,180.36,195.24,240.68,184.05,225.91,186.92,232.18,211.50,241.98,217.24,266.57,222.89,239.29,237.40,200.15,159.46,202.21,155.98,172.76,189.23,224.53,178.92,188.85,186.96,174.35,197.35,235.30,158.49,211.70,169.69,179.86,191.93,210.86,141.30,173.72,128.71,148.78,148.71,202.95,251.61,254.73,238.23,169.12,223.66,213.54
*P(=Nc1ccc(cc1)N=P(CC*)(Cl)Cl)(Cl)Cl,,-27.34500252,58.44,75.67,79.75,85.46,62.11,71.43,45.62,83.88,99.04,87.23,45.57,53.38,-46.98,63.39,49.16,10.02,-6.07,33.23,48.90,111.00,98.40,81.92,78.16,55.40,-76.61,-27.00,42.07,2.02,-18.25,46.93,77.38,119.36,71.31,85.62,84.84,49.83,72.25,85.33,76.38,94.11,42.38,79.87,46.92,86.96,103.68,94.23,56.95,56.53,,,,,,,,,,,,,,,,,,,,,,,,,,159.03,,62.63,,2.56,8.46
*Nc1c(cc(c(c1)SCCC#N)NC(=O)c1cc(ccc1)C(=O)*)SCCC#N,Nc1cc(SCCC#N)c(N)cc1SCCC#N.ClC(=O)c1cccc(c1)C(=O)Cl,38.16065966,199.82,153.08,193.82,168.06,153.28,193.67,265.03,186.94,222.68,199.30,225.15,195.03,145.49,136.86,131.64,149.24,130.06,153.92,194.53,151.36,173.36,147.68,169.04,166.43,168.20,145.88,134.79,158.24,136.15,157.34,194.59,153.83,172.01,148.33,139.38,158.88,201.24,142.82,195.90,149.77,198.31,195.97,271.06,189.81,223.02,199.47,200.51,205.95,252.83,229.13,187.39,230.57,232.50,238.69,270.52,265.28,315.41,239.04,284.11,253.67,221.37,218.03,146.92,230.20,234.48,269.00,239.59,191.77,194.29,180.74,205.25,206.88,209.09,226.92,140.66,193.42,271.84,195.91,164.34
*C(C*)(c1ccc(cc1)OC(=O)CC)OC(=O)C,CC(=O)OC(=C)c1ccc(cc1)OC(=O)CC,2.162388076,114.86,77.86,81.08,74.12,82.89,80.03,157.72,114.81,106.42,109.69,135.83,120.51,119.60,84.87,67.87,88.86,117.32,119.77,78.14,87.73,90.42,72.40,66.73,83.16,134.12,110.73,69.78,116.49,102.41,113.54,104.31,93.36,84.58,90.03,84.72,70.00,117.48,86.61,81.73,89.29,109.12,89.17,144.28,114.33,92.63,113.65,122.71,109.15,103.05,87.12,76.67,84.58,109.72,112.82,99.79,114.60,76.36,115.76,108.51,89.83,127.80,101.54,75.86,103.77,108.90,93.11,91.40,93.97,97.57,77.88,93.65,82.01,127.57,129.27,114.19,46.06,170.90,207.62,105.15
*C1C(=O)N(C(=O)C1C(C*)c1ccccc1)CCCCCCCC,,105.6965321,71.07,90.19,44.59,84.76,85.41,75.96,82.00,125.03,85.53,114.81,101.41,108.43,77.34,100.93,47.26,99.17,68.83,96.12,92.20,80.89,71.00,92.69,84.74,78.11,87.55,110.40,131.55,105.99,107.84,83.41,110.00,103.69,65.30,100.98,89.59,83.01,72.27,89.19,47.01,87.62,88.59,84.49,83.55,123.88,68.11,111.39,86.34,110.27,,,,,,,,,,,,,,,,,,,,,,,,,,129.33,,139.44,,45.89,69.44
*c1sc2cc3c(cc2n1)sc(n3)CCCCC*,Nc1cc(S)c(N)cc1S.OC(=O)CCCCCC(=O)O,87.36313445,120.91,135.53,70.05,137.68,93.29,119.85,97.84,116.84,93.44,97.36,108.51,117.13,134.68,167.83,162.26,146.51,129.75,163.98,152.64,126.34,90.31,108.22,143.30,140.75,109.01,181.06,139.88,173.21,99.43,110.97,166.06,133.16,110.81,109.84,139.40,120.74,116.87,134.47,72.89,133.89,87.87,108.97,77.32,118.46,92.58,98.56,87.76,94.94,183.97,162.22,156.75,168.93,163.14,151.83,182.64,198.16,185.65,171.13,187.57,159.94,211.06,220.60,94.16,210.25,228.55,172.68,199.83,158.88,168.05,138.77,166.07,157.41,113.53,194.89,122.89,168.76,229.83,139.68,106.43
*NC(C(=O)*)CCC(=O)OCCCCCCCCCCCC,CCCCCCCCCCCCOC(=O)CCC1NC(=O)OC1=O,30.09586697,-3.92,44.95,-48.57,43.45,33.14,14.42,-40.57,-7.16,-55.89,-14.20,-7.44,2.81,-27.32,26.97,-4.48,25.24,-1.77,24.39,-26.30,11.57,-49.50,3.51,14.35,32.01,-24.28,18.89,5.27,16.98,-44.88,9.79,-64.68,3.26,-32.15,10.79,2.89,8.79,3.59,28.92,-45.93,29.17,27.27,-0.79,-41.48,-11.40,-53.87,-20.99,1.56,9.10,-1.26,23.56,-41.28,17.30,3.10,-10.50,-36.03,-4.68,-44.70,-7.08,7.44,-3.24,-45.30,33.12,-8.96,9.46,42.07,23.25,-28.50,-0.57,-10.57,10.29,12.66,12.63,-16.61,-36.15,9.73,24.69,-35.61,-45.83,-7.21
*NC(C(=O)*)CO,,84.57547927,86.69,116.54,92.03,124.34,95.49,98.00,129.98,111.19,83.29,107.43,102.19,116.97,110.81,111.42,109.78,111.24,74.70,113.93,130.60,75.88,89.01,52.61,102.73,98.90,108.02,120.49,96.39,113.74,41.74,82.24,124.37,63.91,119.85,66.36,53.83,95.57,72.49,102.62,90.35,110.23,98.68,84.19,128.49,112.77,107.62,105.85,97.66,110.18,,,,,,,,,,,,,,,,,,,,,,,,,,13.40,,91.14,,65.67,167.32
*Nc1c(cccc1)NC(=O)CCCCCCC(=O)*,Nc1ccccc1N.ClC(=O)CCCCCCC(=O)Cl,71.92438381,110.10,113.20,108.16,116.65,106.61,106.32,145.77,133.10,124.48,148.81,138.32,129.30,114.10,110.88,107.80,110.48,100.12,115.84,119.69,118.01,125.15,116.45,105.49,113.64,117.36,124.44,112.54,122.47,100.52,106.54,120.11,110.53,128.23,105.38,95.27,110.16,98.59,100.43,109.29,114.47,125.35,86.46,148.91,134.44,126.56,148.02,129.32,126.40,154.72,155.36,150.82,151.74,127.77,125.95,166.91,190.75,154.51,166.38,186.85,162.57,149.66,172.76,105.49,158.54,171.97,163.96,148.14,148.09,129.95,135.98,158.57,148.81,108.70,130.38,124.49,103.97,161.25,145.26,138.86
*Oc1c(cc(cc1)C=Cc1ccc(cc1)C=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)C)C,,35.47523522,80.85,121.46,86.35,113.51,88.82,99.38,44.47,73.74,69.15,69.65,78.12,86.72,87.79,115.58,82.86,108.34,95.11,109.46,66.81,109.74,67.26,99.54,90.70,93.32,62.65,91.75,79.80,91.35,95.84,94.07,99.82,103.59,69.08,104.28,91.62,76.17,67.22,113.13,91.29,112.12,109.79,94.43,38.11,71.48,62.70,66.21,65.22,83.16,,,,,,,,,,,,,,,,,,,,,,,,,,90.36,,68.39,,84.44,77.99
*c1c2c(nccn2)c(cc1)*,,216.378732,160.51,153.92,143.20,156.42,155.95,190.05,159.83,168.93,120.12,168.95,193.31,177.08,217.08,165.61,209.07,193.63,197.42,231.59,304.58,184.05,234.34,141.89,190.74,223.76,221.65,169.84,194.22,186.24,131.53,231.72,297.92,193.75,235.75,158.34,238.39,225.28,175.59,139.37,148.34,153.93,191.55,176.06,167.14,175.31,152.26,174.84,167.11,197.59,,,,,,,,,,,,,,,,,,,,,,,,,,143.02,,222.05,,200.44,247.04
*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)*,Nc1ccc(Oc2ccc(cc2)c3ccc(Oc4ccc(N)cc4)cc3)cc1.OC(=O)c1ccc(Oc2ccc(Oc3ccc(cc3)C(=O)O)cc2)cc1,165.0428244,203.27,193.91,189.00,205.50,207.75,217.49,239.17,249.16,231.61,246.26,231.91,242.24,202.49,196.98,207.45,205.67,206.17,209.98,201.21,182.18,197.12,189.85,180.50,179.92,204.49,185.36,202.59,184.93,182.64,171.98,203.07,196.19,199.81,203.01,185.86,189.86,215.02,188.74,200.74,193.28,192.09,220.94,239.53,243.23,235.77,244.31,224.40,257.23,213.48,204.67,206.68,204.79,202.25,226.32,230.14,246.45,237.42,239.09,256.45,267.40,193.50,199.57,208.16,202.67,204.02,210.70,194.98,210.03,214.08,212.20,191.06,205.45,218.56,209.02,229.48,189.56,208.09,194.94,160.23
*OP(=O)(OCCCCCCCCCCOc1ccc(cc1)C=Cc1ccc(cc1)OCCCCCCCCCC*)OCCCCCCCCCCOc1ccc(cc1)N=Nc1ccc(cc1)F,OCCCCCCCCCCOc2ccc(C=Cc1ccc(OCCCCCCCCCCO)cc1)cc2.O=P(Cl)(Cl)OCCCCCCCCCCOc2ccc(N=Nc1ccc(F)cc1)cc2,-7.2122695,54.58,-50.57,58.00,-67.31,37.48,8.21,51.83,22.78,44.59,29.53,37.42,13.41,55.62,-43.90,52.90,-49.50,23.25,86.36,49.19,-38.65,40.36,14.83,21.58,21.24,56.67,-35.08,60.76,-57.98,18.92,15.89,55.16,29.79,46.26,18.15,22.85,26.08,52.35,-30.78,56.37,-46.90,61.22,19.69,58.35,23.69,55.74,27.44,30.60,16.07,56.53,-32.09,55.87,-29.37,39.53,28.68,61.04,38.06,48.89,39.51,32.14,43.55,58.20,-10.99,49.17,-14.45,44.32,56.52,50.07,-13.46,57.51,33.93,37.12,23.89,69.57,57.92,14.58,73.59,42.34,56.77,22.41
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccc(cc2)NC(=O)*)cc1,O=C(O)c6ccc5c(=O)n(c4ccc(OCCCOc3ccc(n2c(=O)c1ccc(C(=O)O)cc1c2=O)cc3)cc4)c(=O)c5c6.Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,163.1829015,260.83,286.89,236.95,300.05,235.61,206.07,206.35,201.98,210.44,202.01,240.96,208.83,247.52,263.90,229.95,272.39,210.58,242.29,237.25,238.25,236.29,253.46,213.24,233.81,252.76,286.54,229.65,296.61,252.24,219.60,252.93,229.56,216.11,246.12,221.66,224.15,258.20,286.14,239.11,295.55,269.65,217.49,214.04,198.40,213.67,197.50,230.37,207.96,259.42,261.28,258.36,264.99,236.02,260.32,200.26,200.02,194.49,206.63,198.25,195.40,240.22,264.56,240.48,275.39,219.06,224.98,248.15,254.39,234.53,252.71,224.73,232.16,215.09,217.17,172.45,222.64,218.47,229.44,229.83
*OC(=O)c1ccc(cc1)C(=O)NCCCCCCNC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCC*,OCCCCCCCCCCO.COC(=O)c1ccc(cc1)C(=O)NCCCCCCNC(=O)c2ccc(cc2)C(=O)OC,-20.66610996,102.09,36.08,115.34,38.20,92.84,68.38,99.42,29.92,105.78,43.90,57.90,79.46,75.63,66.71,58.48,60.16,76.82,121.93,61.85,54.72,58.17,58.72,44.26,55.13,67.29,69.61,60.65,64.30,80.02,73.63,54.53,46.42,66.38,52.33,49.20,62.62,97.08,40.56,90.66,36.97,43.88,62.05,92.63,30.14,104.14,40.36,61.95,67.72,77.63,22.72,29.68,30.29,65.74,52.59,64.88,35.19,40.41,32.24,37.25,24.94,98.67,57.44,70.77,54.40,67.76,76.38,41.42,39.43,41.63,45.77,35.30,27.11,51.13,92.70,35.27,113.30,73.08,91.92,34.61
*NNC(=O)c1ccc(cc1)NC(=O)c1cc(cc(c1)N1C(=O)c2c(C1=O)c(c(c(c2Cl)Cl)Cl)Cl)C(=O)*,,133.1528291,298.80,303.64,275.59,326.49,315.19,309.82,302.47,282.77,271.82,281.61,281.63,288.29,358.62,263.58,274.11,272.29,306.30,315.03,330.65,241.18,210.47,206.95,256.53,260.15,364.01,246.82,267.52,280.30,232.52,308.79,305.46,259.22,238.25,232.64,265.24,258.47,296.45,301.00,269.86,316.74,275.58,286.26,305.34,282.21,277.36,277.76,271.03,304.56,,,,,,,,,,,,,,,,,,,,,,,,,,287.76,,245.68,,236.05,241.25
*N=P(*)(OCCC(=O)C=C)OCCC(=O)C=C,,-42.12432011,-8.92,49.66,-12.38,43.59,13.88,-1.96,56.57,46.14,0.99,29.63,6.21,30.22,7.53,59.67,26.18,77.49,-21.54,12.41,39.43,55.11,40.54,65.89,20.34,11.98,18.61,22.28,38.66,20.03,93.99,19.50,25.15,29.45,41.08,68.83,15.02,-7.19,-4.63,63.47,-6.66,59.16,14.49,-5.17,49.71,39.00,-5.36,25.64,27.25,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,,22.48,,36.80,-63.49
*S(=O)(=O)c1ccc(cc1)c1ccc(cc1)*,c1ccc(cc1)c2ccccc2.ClS(=O)(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)Cl,229.0539301,213.12,168.37,182.02,175.37,220.67,203.74,246.33,238.16,230.42,241.26,252.80,228.10,240.75,169.49,200.74,174.97,211.70,227.48,228.75,191.96,180.82,180.07,161.10,176.86,248.57,170.89,216.71,178.52,147.84,203.23,238.52,184.78,188.52,168.50,213.99,190.79,223.34,172.36,212.11,171.68,226.67,196.52,262.48,233.08,236.30,238.51,250.51,233.23,214.07,126.90,165.04,129.80,154.15,204.69,241.50,167.38,159.97,157.44,170.96,180.48,271.08,182.47,219.07,165.62,147.75,197.97,269.22,186.75,208.69,173.59,170.65,173.13,339.43,173.96,253.66,161.63,181.16,239.39,243.31
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)S(=O)(=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)N2C(=O)N(C(=O)C2(CC)C)C(=O)*)cc1,OC(=O)c1ccc2C(=O)N(C(=O)c2c1)c3ccc(cc3)S(=O)(=O)c4ccc(cc4)N5C(=O)c6ccc(C(=O)O)cc6C5(=O).CCC1(C)NC(=O)NC1=O,242.6534046,241.05,287.60,238.97,283.70,316.05,295.23,277.02,221.91,277.34,223.67,268.85,269.03,207.16,217.73,267.31,213.31,261.06,302.42,124.02,264.83,284.38,270.79,227.06,268.82,209.99,217.68,264.90,259.69,330.42,289.76,200.15,280.84,250.14,271.18,253.84,246.72,246.57,286.74,246.63,283.32,287.99,294.09,267.08,223.24,271.78,226.73,248.24,280.36,227.20,213.85,212.85,213.67,255.13,245.19,224.29,202.35,181.33,199.76,195.28,205.00,200.70,197.30,240.94,195.23,245.72,270.65,201.87,203.15,238.79,205.07,190.57,221.65,290.53,301.71,269.12,275.16,201.43,240.48,255.28
*OP(=O)(OCCCCCCCCCCOc1ccc(cc1)C=Cc1ccc(cc1)OCCCCCCCCCC*)OCCCCCCCCCCOc1ccc(cc1)N=Nc1ccc(cc1)C,OCCCCCCCCCCOc2ccc(C=Cc1ccc(OCCCCCCCCCCO)cc1)cc2.Cc2ccc(N=Nc1ccc(OCCCCCCCCCCOP(=O)(Cl)Cl)cc1)cc2,5.817024886,56.95,-49.34,52.71,-66.02,38.85,7.57,40.71,19.53,43.41,26.66,33.11,12.83,61.09,-46.37,53.61,-51.64,24.95,82.44,60.61,-33.33,39.40,16.28,21.55,20.83,61.49,-40.73,35.87,-61.27,18.92,18.33,59.26,32.28,47.05,21.50,23.73,22.60,53.33,-29.80,54.49,-46.70,59.19,19.74,40.64,18.83,51.23,25.11,25.80,13.94,60.58,-31.00,56.38,-31.56,40.07,20.52,56.32,18.48,48.42,25.41,19.59,35.30,61.70,-14.72,48.11,-16.15,40.45,56.53,54.54,-14.70,54.35,29.68,33.39,28.96,71.81,51.36,16.31,73.61,32.21,55.98,22.99
*NC(CCCCNC(=O)NCCCCNC(=O)*)C(=O)OC,NCCCCN.COC(=O)C(CCCCN=C=O)N=C=O,0.336556425,119.73,97.40,59.84,106.93,103.37,66.96,43.24,47.56,67.24,45.70,61.16,77.62,28.24,48.74,54.40,54.06,53.38,77.13,38.59,69.43,25.62,60.51,73.65,86.80,36.79,45.71,61.93,46.18,45.51,78.74,73.83,61.91,32.22,66.42,52.81,67.92,94.06,56.86,57.40,63.62,54.53,34.85,29.72,46.37,72.07,39.40,69.97,71.20,108.22,69.92,48.85,66.25,77.75,69.06,96.38,58.99,36.72,54.79,61.62,93.30,70.45,119.46,60.08,115.35,69.58,86.13,65.96,47.95,52.60,69.30,30.82,39.65,41.64,65.52,78.89,43.83,75.56,64.34,44.30
*C(=C*)c1nc2c(n1C)cccc2,Cn1c(C#C)nc2ccccc12,-6.104199835,178.68,155.93,148.77,156.18,184.74,177.47,221.93,215.32,179.46,203.86,270.65,219.56,216.63,161.36,147.54,148.80,217.69,222.14,227.26,150.95,170.66,126.49,166.29,171.02,206.09,170.50,150.07,158.41,172.01,215.48,196.93,153.56,166.52,135.00,167.19,175.15,174.93,153.62,150.87,157.48,183.85,161.03,213.57,212.89,187.78,200.79,223.08,248.23,161.88,109.61,130.53,106.71,140.05,109.24,198.43,126.21,129.90,122.74,128.75,117.86,162.28,138.58,124.51,118.01,134.63,165.55,181.25,116.43,126.93,100.57,118.77,128.61,93.43,214.12,129.73,227.95,100.70,195.08,234.72
*Oc1ccc(cc1)N=Nc1ccc(cc1)*,Nc1ccc(Oc2ccc(N)cc2)cc1,116.9759489,162.23,160.34,156.99,164.45,189.48,176.13,128.89,140.43,140.06,151.08,157.55,164.42,161.52,155.65,145.02,159.17,160.48,148.68,159.83,148.68,158.39,140.06,130.05,151.86,164.77,137.96,166.21,131.42,81.50,126.12,147.17,142.26,151.19,137.24,146.33,142.38,153.18,139.72,160.64,127.58,138.10,137.48,127.19,146.21,149.92,154.72,158.24,166.44,187.48,161.59,156.30,166.68,187.81,173.29,137.88,162.38,166.73,165.24,171.03,174.89,209.18,164.58,142.10,165.27,176.48,225.77,268.77,192.83,150.09,166.70,178.37,214.17,168.61,144.60,140.39,159.61,172.28,165.67,132.65
*c1nc(nc(n1)NC(=O)c1c(cc(c(c1)C(=O)N*)C(=O)O)C(=O)OC(=O)Nc1c(ccc(c1)NC(=O)OCCCCCCCC)C)c1ccccc1,Nc1nc(N)nc(n1)c2ccccc2.O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,-1.691479041,100.41,210.99,154.76,228.26,189.28,103.03,101.01,102.96,135.93,119.47,115.25,90.85,132.96,245.40,166.56,239.18,188.36,207.00,136.31,194.42,135.47,161.36,152.46,142.92,155.86,240.11,182.24,226.67,249.28,184.94,146.43,206.64,132.62,187.29,173.44,174.80,114.98,238.80,170.92,229.83,143.10,164.16,109.48,104.23,135.64,117.72,128.59,100.11,226.06,228.44,338.11,233.43,274.04,256.82,290.02,276.67,328.02,277.84,275.58,276.56,257.22,260.02,256.85,256.49,269.35,285.70,267.14,249.90,281.99,223.71,249.51,256.48,167.23,208.49,260.09,161.83,308.83,176.05,154.07
*c1[nH]c2cc3c(cc2n1)nc([nH]3)c1ccc(cc1)*,Nc1cc(N)c(N)cc1N.O=C(Oc1ccccc1)c2ccc(cc2)C(=O)Oc3ccccc3,340.5865983,333.45,230.01,307.14,230.71,289.17,277.80,366.57,253.74,355.98,248.18,324.28,301.48,373.27,267.83,285.72,256.17,359.31,317.20,380.44,239.77,288.96,194.72,294.34,315.90,380.25,254.90,292.81,244.81,283.33,325.47,382.41,254.62,292.43,213.56,292.45,310.93,329.01,224.42,309.46,216.17,280.12,242.59,370.07,253.31,352.32,248.12,298.70,307.38,307.26,313.03,310.04,335.56,287.20,286.37,272.73,244.39,300.41,222.30,231.23,232.07,330.59,323.32,257.12,325.14,340.82,327.58,359.12,297.82,327.22,274.39,308.06,317.69,273.17,313.99,240.24,314.70,335.58,357.46,309.35
*OC(=O)Cc1ccc(cc1)CC(=O)OCCCC*,OCCCCO.OC(=O)Cc1ccc(CC(=O)O)cc1,-34.10658315,8.47,12.23,38.48,13.68,4.43,13.25,35.02,29.40,48.94,26.11,11.32,31.24,0.14,10.78,32.93,2.34,-11.63,40.85,3.42,68.64,38.10,69.15,23.24,27.72,-1.48,37.01,28.16,33.71,23.20,17.09,-7.99,56.52,37.36,57.81,40.27,14.99,22.28,41.29,49.88,36.94,21.21,25.74,51.08,36.66,55.48,33.51,29.94,51.72,13.27,35.88,40.56,33.77,-5.87,50.45,14.39,55.55,64.37,48.88,52.42,56.46,-21.95,33.16,45.00,31.79,-13.85,10.74,-11.15,75.44,41.60,67.65,60.00,45.71,24.02,28.13,45.91,58.33,40.96,17.24,-28.69
